# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2017-01-01T00:00:00.0
# Date end (ISO 8601): 2019-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -23.5844
# Longitude (positive East, ISO 19115): -64.5066
# Altitude (m): 400.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2025-03-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2017-01-01T06:00:00.0/2017-01-01T06:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T06:15:00.0/2017-01-01T06:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T06:30:00.0/2017-01-01T06:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T06:45:00.0/2017-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T07:00:00.0/2017-01-01T07:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T07:15:00.0/2017-01-01T07:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T07:30:00.0/2017-01-01T07:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T07:45:00.0/2017-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T08:00:00.0/2017-01-01T08:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T08:15:00.0/2017-01-01T08:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T08:30:00.0/2017-01-01T08:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T08:45:00.0/2017-01-01T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T09:00:00.0/2017-01-01T09:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T09:15:00.0/2017-01-01T09:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2017-01-01T09:30:00.0/2017-01-01T09:45:00.0;1.4756;0.3964;0.0750;0.3214;0.0000;0.3964;0.0750;0.3214;0.0000;0.8333
2017-01-01T09:45:00.0/2017-01-01T10:00:00.0;17.2404;6.8497;3.3667;3.4830;62.8163;6.8497;3.3667;3.4830;62.8163;0.6333
2017-01-01T10:00:00.0/2017-01-01T10:15:00.0;36.5759;18.4865;12.0341;6.4524;114.0191;18.4865;12.0341;6.4524;114.0191;1.0000
2017-01-01T10:15:00.0/2017-01-01T10:30:00.0;55.9904;32.1899;23.5567;8.6332;147.2916;32.1899;23.5567;8.6332;147.2916;1.0000
2017-01-01T10:30:00.0/2017-01-01T10:45:00.0;75.4007;46.8723;36.5783;10.2940;170.3206;46.8723;36.5783;10.2940;170.3206;1.0000
2017-01-01T10:45:00.0/2017-01-01T11:00:00.0;94.7239;62.0795;50.4596;11.6199;187.2351;62.0795;50.4596;11.6199;187.2351;1.0000
2017-01-01T11:00:00.0/2017-01-01T11:15:00.0;113.8772;77.5668;64.8462;12.7206;200.2532;77.5668;64.8462;12.7206;200.2532;1.0000
2017-01-01T11:15:00.0/2017-01-01T11:30:00.0;132.7786;93.1547;79.4981;13.6566;210.6121;93.1547;79.4981;13.6566;210.6121;1.0000
2017-01-01T11:30:00.0/2017-01-01T11:45:00.0;151.3473;108.6920;94.2293;14.4627;219.0479;108.6920;94.2293;14.4627;219.0479;1.0000
2017-01-01T11:45:00.0/2017-01-01T12:00:00.0;169.5037;124.0498;108.8879;15.1619;226.0345;124.0498;108.8879;15.1619;226.0345;1.0000
2017-01-01T12:00:00.0/2017-01-01T12:15:00.0;187.1700;139.1175;123.3468;15.7707;231.8979;139.1175;123.3468;15.7707;231.8979;1.0000
2017-01-01T12:15:00.0/2017-01-01T12:30:00.0;204.2708;153.8019;137.4973;16.3046;236.8723;153.8019;137.4973;16.3046;236.8723;1.0000
2017-01-01T12:30:00.0/2017-01-01T12:45:00.0;220.7328;168.0223;151.2441;16.7782;241.1314;168.0223;151.2441;16.7782;241.1314;1.0000
2017-01-01T12:45:00.0/2017-01-01T13:00:00.0;236.4854;181.7025;164.5009;17.2016;244.8035;181.7025;164.5009;17.2016;244.8035;1.0000
2017-01-01T13:00:00.0/2017-01-01T13:15:00.0;251.4612;194.7698;177.1875;17.5824;247.9844;194.7698;177.1875;17.5824;247.9844;1.0000
2017-01-01T13:15:00.0/2017-01-01T13:30:00.0;265.5962;207.1541;189.2286;17.9255;250.7461;207.1541;189.2286;17.9255;250.7461;1.0000
2017-01-01T13:30:00.0/2017-01-01T13:45:00.0;278.8297;218.7892;200.5547;18.2345;253.1445;218.7892;200.5547;18.2345;253.1445;1.0000
2017-01-01T13:45:00.0/2017-01-01T14:00:00.0;291.1052;229.6137;211.1018;18.5119;255.2237;229.6137;211.1018;18.5119;255.2237;1.0000
2017-01-01T14:00:00.0/2017-01-01T14:15:00.0;302.3700;239.5719;220.8119;18.7600;257.0197;239.5719;220.8119;18.7600;257.0197;1.0000
2017-01-01T14:15:00.0/2017-01-01T14:30:00.0;312.5758;248.6145;229.6337;18.9807;258.5626;248.6145;229.6337;18.9807;258.5626;1.0000
2017-01-01T14:30:00.0/2017-01-01T14:45:00.0;321.6791;256.6977;237.5217;19.1761;259.8772;256.6977;237.5217;19.1761;259.8772;1.0000
2017-01-01T14:45:00.0/2017-01-01T15:00:00.0;329.6407;263.7833;244.4358;19.3475;260.9839;263.7833;244.4358;19.3475;260.9839;1.0000
2017-01-01T15:00:00.0/2017-01-01T15:15:00.0;336.4266;269.8286;250.3377;19.4909;261.8951;269.8286;250.3377;19.4909;261.8951;1.0000
2017-01-01T15:15:00.0/2017-01-01T15:30:00.0;342.0077;274.8040;255.1973;19.6067;262.6230;274.8040;255.1973;19.6067;262.6230;1.0000
2017-01-01T15:30:00.0/2017-01-01T15:45:00.0;346.3600;278.6924;258.9928;19.6996;263.1803;278.6924;258.9928;19.6996;263.1803;1.0000
2017-01-01T15:45:00.0/2017-01-01T16:00:00.0;349.4650;281.4733;261.7045;19.7688;263.5734;281.4733;261.7045;19.7688;263.5734;1.0000
2017-01-01T16:00:00.0/2017-01-01T16:15:00.0;351.3093;283.1310;263.3175;19.8134;263.8061;283.1310;263.3175;19.8134;263.8061;1.0000
2017-01-01T16:15:00.0/2017-01-01T16:30:00.0;351.8849;283.6553;263.8230;19.8323;263.8802;283.6553;263.8230;19.8323;263.8802;1.0000
2017-01-01T16:30:00.0/2017-01-01T16:45:00.0;351.1894;283.0431;263.2180;19.8251;263.7965;283.0431;263.2180;19.8251;263.7965;1.0000
2017-01-01T16:45:00.0/2017-01-01T17:00:00.0;349.2257;281.2980;261.5059;19.7921;263.5541;281.2980;261.5059;19.7921;263.5541;1.0000
2017-01-01T17:00:00.0/2017-01-01T17:15:00.0;346.0022;278.4303;258.6958;19.7346;263.1506;278.4303;258.6958;19.7346;263.1506;1.0000
2017-01-01T17:15:00.0/2017-01-01T17:30:00.0;341.5328;274.4560;254.8027;19.6533;262.5820;274.4560;254.8027;19.6533;262.5820;1.0000
