# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2024-01-01T00:00:00.0
# Latitude (positive North, ISO 19115): -22.1039
# Longitude (positive East, ISO 19115): -65.5999
# Altitude (m): 3459.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 15 min 0 s
# noValue: nan
# File generated on: 2025-03-27
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-01T03:45:00.0/2020-01-01T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T04:00:00.0/2020-01-01T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T04:15:00.0/2020-01-01T04:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T04:30:00.0/2020-01-01T04:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T04:45:00.0/2020-01-01T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T05:00:00.0/2020-01-01T05:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T05:15:00.0/2020-01-01T05:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T05:30:00.0/2020-01-01T05:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T05:45:00.0/2020-01-01T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T06:00:00.0/2020-01-01T06:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T06:15:00.0/2020-01-01T06:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T06:30:00.0/2020-01-01T06:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T06:45:00.0/2020-01-01T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T07:00:00.0/2020-01-01T07:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T07:15:00.0/2020-01-01T07:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T07:30:00.0/2020-01-01T07:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T07:45:00.0/2020-01-01T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T08:00:00.0/2020-01-01T08:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T08:15:00.0/2020-01-01T08:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T08:30:00.0/2020-01-01T08:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T08:45:00.0/2020-01-01T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T09:00:00.0/2020-01-01T09:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T09:15:00.0/2020-01-01T09:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T09:30:00.0/2020-01-01T09:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T09:45:00.0/2020-01-01T10:00:00.0;8.5398;3.3736;1.5383;1.8353;39.1044;1.3427;0.0000;1.3427;0.0000;0.5333
2020-01-01T10:00:00.0/2020-01-01T10:15:00.0;28.0057;14.8228;9.7364;5.0864;119.1971;5.8995;0.0000;5.8995;0.0000;0.6333
2020-01-01T10:15:00.0/2020-01-01T10:30:00.0;47.6103;29.3327;22.0744;7.2583;162.0417;13.0885;0.0372;13.0513;0.2487;1.0000
2020-01-01T10:30:00.0/2020-01-01T10:45:00.0;67.2333;45.0361;36.2344;8.8017;189.1399;25.3762;0.6887;24.6875;3.4165;1.0000
2020-01-01T10:45:00.0/2020-01-01T11:00:00.0;86.7906;61.2883;51.3168;9.9714;207.7977;36.8490;2.9922;33.8568;11.9932;1.0000
2020-01-01T11:00:00.0/2020-01-01T11:15:00.0;106.1985;77.8158;66.9128;10.9030;221.5673;47.0130;5.7760;41.2370;19.0430;1.0000
2020-01-01T11:15:00.0/2020-01-01T11:30:00.0;125.3740;94.4357;82.7669;11.6688;232.2187;60.3587;10.7258;49.6329;29.8606;1.0000
2020-01-01T11:30:00.0/2020-01-01T11:45:00.0;144.2350;110.9886;98.6787;12.3099;240.7007;81.2630;21.9094;59.3536;53.1771;1.0000
2020-01-01T11:45:00.0/2020-01-01T12:00:00.0;162.7007;127.3356;114.4831;12.8525;247.5845;98.4527;35.6155;62.8373;76.8845;1.0000
2020-01-01T12:00:00.0/2020-01-01T12:15:00.0;180.6921;143.3428;130.0172;13.3256;253.2009;112.2449;43.0895;69.1554;84.0070;1.0000
2020-01-01T12:15:00.0/2020-01-01T12:30:00.0;198.1322;158.9127;145.1683;13.7444;257.8344;123.6260;51.2104;72.4156;90.6260;1.0000
2020-01-01T12:30:00.0/2020-01-01T12:45:00.0;214.9463;173.9827;159.8719;14.1108;261.7463;142.5753;85.6069;56.9684;139.9486;1.0000
2020-01-01T12:45:00.0/2020-01-01T13:00:00.0;231.0625;188.4796;174.0464;14.4331;265.0847;169.0288;125.6715;43.3573;190.9039;1.0000
2020-01-01T13:00:00.0/2020-01-01T13:15:00.0;246.4117;202.3325;187.6146;14.7179;267.9554;201.4030;185.2855;16.1175;264.5432;1.0000
2020-01-01T13:15:00.0/2020-01-01T13:30:00.0;260.9281;215.4717;200.5018;14.9699;270.4336;206.4934;176.2824;30.2110;238.2039;1.0000
2020-01-01T13:30:00.0/2020-01-01T13:45:00.0;274.5497;227.8294;212.6368;15.1926;272.5747;191.9999;109.9582;82.0417;141.2384;1.0000
2020-01-01T13:45:00.0/2020-01-01T14:00:00.0;287.2182;239.3420;223.9531;15.3888;274.4211;188.0775;75.3381;112.7394;92.3777;1.0000
2020-01-01T14:00:00.0/2020-01-01T14:15:00.0;298.8792;249.9516;234.3911;15.5605;276.0075;177.8511;64.6474;113.2037;76.2107;1.0000
2020-01-01T14:15:00.0/2020-01-01T14:30:00.0;309.4828;259.6076;243.8982;15.7094;277.3640;169.2088;46.4710;122.7379;52.8752;1.0000
2020-01-01T14:30:00.0/2020-01-01T14:45:00.0;318.9836;268.2655;252.4289;15.8366;278.5165;169.1516;41.5494;127.6022;45.8596;1.0000
2020-01-01T14:45:00.0/2020-01-01T15:00:00.0;327.3409;275.8871;259.9439;15.9431;279.4868;176.4430;45.8028;130.6402;49.1989;1.0000
2020-01-01T15:00:00.0/2020-01-01T15:15:00.0;334.5190;282.4063;266.3571;16.0492;280.2381;206.4079;72.0295;134.3784;75.7474;1.0000
2020-01-01T15:15:00.0/2020-01-01T15:30:00.0;340.4870;287.7925;271.6370;16.1555;280.7846;219.0823;75.9921;143.0903;78.5953;1.0000
2020-01-01T15:30:00.0/2020-01-01T15:45:00.0;345.2194;292.0513;275.8094;16.2419;281.1898;186.5643;46.6728;139.8914;47.5928;1.0000
2020-01-01T15:45:00.0/2020-01-01T16:00:00.0;348.6959;295.1609;278.8528;16.3081;281.4586;188.2815;47.3876;140.8939;47.8241;1.0000
2020-01-01T16:00:00.0/2020-01-01T16:15:00.0;350.9016;297.1041;280.7506;16.3535;281.5933;196.2712;55.0503;141.2209;55.2156;1.0000
2020-01-01T16:15:00.0/2020-01-01T16:30:00.0;351.8269;297.8694;281.4920;16.3775;281.5944;195.5300;53.6442;141.8858;53.6637;1.0000
2020-01-01T16:30:00.0/2020-01-01T16:45:00.0;351.4680;297.4581;281.0790;16.3791;281.4685;194.5550;52.7532;141.8019;52.8258;1.0000
2020-01-01T16:45:00.0/2020-01-01T17:00:00.0;349.8264;295.8797;279.5217;16.3580;281.2224;195.1680;54.3851;140.7829;54.7217;1.0000
2020-01-01T17:00:00.0/2020-01-01T17:15:00.0;346.9089;293.1318;276.8160;16.3158;280.8422;206.6249;62.3270;144.2979;63.2345;1.0000
2020-01-01T17:15:00.0/2020-01-01T17:30:00.0;342.7282;289.2300;272.9771;16.2530;280.3253;210.0917;58.4134;151.6784;59.9755;1.0000
2020-01-01T17:30:00.0/2020-01-01T17:45:00.0;337.3021;284.1956;268.0255;16.1702;279.6676;188.5198;53.2457;135.2740;55.5694;1.0000
2020-01-01T17:45:00.0/2020-01-01T18:00:00.0;330.6537;278.0539;261.9863;16.0676;278.8618;182.7318;51.4955;131.2363;54.7731;1.0000
2020-01-01T18:00:00.0/2020-01-01T18:15:00.0;322.8117;270.8884;254.9733;15.9151;277.9897;156.4132;28.6838;127.7294;31.2339;1.0000
2020-01-01T18:15:00.0/2020-01-01T18:30:00.0;313.8094;262.7292;247.0161;15.7131;277.0391;138.9317;17.4447;121.4870;19.5622;1.0000
2020-01-01T18:30:00.0/2020-01-01T18:45:00.0;303.6853;253.5567;238.0650;15.4917;275.8997;142.7827;24.1734;118.6093;28.0861;1.0000
2020-01-01T18:45:00.0/2020-01-01T19:00:00.0;292.4829;243.4123;228.1622;15.2501;274.5491;158.0403;43.5927;114.4475;52.5189;1.0000
2020-01-01T19:00:00.0/2020-01-01T19:15:00.0;280.2501;232.3438;217.3563;14.9875;272.9608;160.8792;55.0622;105.8170;69.2072;1.0000
2020-01-01T19:15:00.0/2020-01-01T19:30:00.0;267.0392;220.4060;205.7034;14.7026;271.1043;154.1828;55.1355;99.0473;72.5817;1.0000
2020-01-01T19:30:00.0/2020-01-01T19:45:00.0;252.9066;207.6601;193.2666;14.3935;268.9436;142.4368;43.4766;98.9602;60.5715;1.0000
2020-01-01T19:45:00.0/2020-01-01T20:00:00.0;237.9131;194.1723;180.1145;14.0578;266.4334;145.0193;50.8413;94.1780;75.2326;1.0000
2020-01-01T20:00:00.0/2020-01-01T20:15:00.0;222.1225;180.0120;166.3199;13.6922;263.5125;141.3219;79.7539;61.5680;127.3054;1.0000
2020-01-01T20:15:00.0/2020-01-01T20:30:00.0;205.6026;165.2500;151.9581;13.2919;260.0958;144.6726;111.3827;33.2899;189.5196;1.0000
2020-01-01T20:30:00.0/2020-01-01T20:45:00.0;188.4241;149.9621;137.1119;12.8503;256.0712;90.2155;19.3984;70.8170;36.0210;1.0000
2020-01-01T20:45:00.0/2020-01-01T21:00:00.0;170.6604;134.2207;121.8610;12.3597;251.2641;85.2800;21.4695;63.8105;44.4869;1.0000
2020-01-01T21:00:00.0/2020-01-01T21:15:00.0;152.3876;118.0418;106.1281;11.9137;245.0353;77.1644;22.2018;54.9626;50.9567;1.0000
2020-01-01T21:15:00.0/2020-01-01T21:30:00.0;133.6838;101.5361;90.0556;11.4805;236.9826;58.5979;7.2242;51.3737;18.8080;1.0000
2020-01-01T21:30:00.0/2020-01-01T21:45:00.0;114.6292;84.9078;73.9853;10.9225;227.0018;45.3120;2.3111;43.0008;7.0091;1.0000
2020-01-01T21:45:00.0/2020-01-01T22:00:00.0;95.3052;68.3045;58.1014;10.2032;214.3141;35.2193;0.8656;34.3537;3.1806;0.8667
2020-01-01T22:00:00.0/2020-01-01T22:15:00.0;75.7945;51.8959;42.6334;9.2625;197.5464;26.7143;0.6027;26.1116;2.7926;0.5000
2020-01-01T22:15:00.0/2020-01-01T22:30:00.0;56.1807;35.9024;27.9118;7.9906;174.0346;18.4814;0.3946;18.0868;2.4602;0.5000
2020-01-01T22:30:00.0/2020-01-01T22:45:00.0;36.5476;20.7580;14.5769;6.1811;138.3930;10.6856;0.2061;10.4795;1.9564;0.5000
2020-01-01T22:45:00.0/2020-01-01T23:00:00.0;16.9792;7.6542;4.1944;3.4598;79.7287;3.9401;0.0593;3.8808;1.1271;0.5000
2020-01-01T23:00:00.0/2020-01-01T23:15:00.0;1.3345;0.4006;0.0939;0.3067;0.0000;0.2062;0.0013;0.2049;0.0000;0.8000
2020-01-01T23:15:00.0/2020-01-01T23:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T23:30:00.0/2020-01-01T23:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-01T23:45:00.0/2020-01-02T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T00:00:00.0/2020-01-02T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T00:15:00.0/2020-01-02T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T00:30:00.0/2020-01-02T00:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T00:45:00.0/2020-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T01:00:00.0/2020-01-02T01:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T01:15:00.0/2020-01-02T01:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T01:30:00.0/2020-01-02T01:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T01:45:00.0/2020-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T02:00:00.0/2020-01-02T02:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T02:15:00.0/2020-01-02T02:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T02:30:00.0/2020-01-02T02:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T02:45:00.0/2020-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T03:00:00.0/2020-01-02T03:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T03:15:00.0/2020-01-02T03:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T03:30:00.0/2020-01-02T03:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T03:45:00.0/2020-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T04:00:00.0/2020-01-02T04:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T04:15:00.0/2020-01-02T04:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T04:30:00.0/2020-01-02T04:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T04:45:00.0/2020-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T05:00:00.0/2020-01-02T05:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T05:15:00.0/2020-01-02T05:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T05:30:00.0/2020-01-02T05:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T05:45:00.0/2020-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T06:00:00.0/2020-01-02T06:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T06:15:00.0/2020-01-02T06:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T06:30:00.0/2020-01-02T06:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T06:45:00.0/2020-01-02T07:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T07:00:00.0/2020-01-02T07:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T07:15:00.0/2020-01-02T07:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T07:30:00.0/2020-01-02T07:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T07:45:00.0/2020-01-02T08:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T08:00:00.0/2020-01-02T08:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T08:15:00.0/2020-01-02T08:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T08:30:00.0/2020-01-02T08:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T08:45:00.0/2020-01-02T09:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T09:00:00.0/2020-01-02T09:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T09:15:00.0/2020-01-02T09:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T09:30:00.0/2020-01-02T09:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T09:45:00.0/2020-01-02T10:00:00.0;7.7838;2.8905;1.1085;1.7821;28.3568;0.3857;0.0000;0.3857;0.0000;0.5667
2020-01-02T10:00:00.0/2020-01-02T10:15:00.0;27.1978;13.8133;8.4384;5.3748;105.7918;1.8432;0.0000;1.8432;0.0000;0.6333
2020-01-02T10:15:00.0/2020-01-02T10:30:00.0;46.8130;28.0822;20.2548;7.8274;151.0484;3.5534;0.0000;3.5534;0.0000;1.0000
2020-01-02T10:30:00.0/2020-01-02T10:45:00.0;66.4493;43.6710;34.1067;9.5643;180.0666;12.8133;1.1318;11.6815;5.5736;1.0000
2020-01-02T10:45:00.0/2020-01-02T11:00:00.0;86.0225;59.8640;48.9976;10.8664;200.1466;42.6722;7.4796;35.1926;29.9905;1.0000
2020-01-02T11:00:00.0/2020-01-02T11:15:00.0;105.4489;76.3596;64.4688;11.8909;214.9766;57.8820;16.4597;41.4222;54.8650;1.0000
2020-01-02T11:15:00.0/2020-01-02T11:30:00.0;124.6453;92.9637;80.2408;12.7229;226.4404;69.2583;19.2961;49.9623;54.4974;1.0000
2020-01-02T11:30:00.0/2020-01-02T11:45:00.0;143.5296;109.5119;96.1014;13.4105;235.5635;76.8657;19.2114;57.6543;47.3237;1.0000
2020-01-02T11:45:00.0/2020-01-02T12:00:00.0;162.0208;125.8626;111.8792;13.9834;242.9688;80.0575;15.4527;64.6049;33.5215;1.0000
