Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,6673488,-,-,-,-22.1,-65.59,0,3449,-3,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,GHI
2022,1,1,0,0,0
2022,1,1,0,10,0
2022,1,1,0,20,0
2022,1,1,0,30,0
2022,1,1,0,40,0
2022,1,1,0,50,0
2022,1,1,1,0,0
2022,1,1,1,10,0
2022,1,1,1,20,0
2022,1,1,1,30,0
2022,1,1,1,40,0
2022,1,1,1,50,0
2022,1,1,2,0,0
2022,1,1,2,10,0
2022,1,1,2,20,0
2022,1,1,2,30,0
2022,1,1,2,40,0
2022,1,1,2,50,0
2022,1,1,3,0,0
2022,1,1,3,10,0
2022,1,1,3,20,0
2022,1,1,3,30,0
2022,1,1,3,40,0
2022,1,1,3,50,0
2022,1,1,4,0,0
2022,1,1,4,10,0
2022,1,1,4,20,0
2022,1,1,4,30,0
2022,1,1,4,40,0
2022,1,1,4,50,0
2022,1,1,5,0,0
2022,1,1,5,10,0
2022,1,1,5,20,0
2022,1,1,5,30,0
2022,1,1,5,40,0
2022,1,1,5,50,0
2022,1,1,6,0,0
2022,1,1,6,10,0
2022,1,1,6,20,0
2022,1,1,6,30,0
2022,1,1,6,40,0
2022,1,1,6,50,0
2022,1,1,7,0,0
2022,1,1,7,10,0
2022,1,1,7,20,0
2022,1,1,7,30,0
2022,1,1,7,40,0
2022,1,1,7,50,0
2022,1,1,8,0,0
2022,1,1,8,10,0
2022,1,1,8,20,0
2022,1,1,8,30,0
2022,1,1,8,40,0
2022,1,1,8,50,0
2022,1,1,9,0,0
2022,1,1,9,10,0
2022,1,1,9,20,0
2022,1,1,9,30,0
2022,1,1,9,40,0
2022,1,1,9,50,14
2022,1,1,10,0,35
2022,1,1,10,10,64
2022,1,1,10,20,98
2022,1,1,10,30,136
2022,1,1,10,40,178
2022,1,1,10,50,221
2022,1,1,11,0,264
2022,1,1,11,10,307
2022,1,1,11,20,351
2022,1,1,11,30,395
2022,1,1,11,40,442
2022,1,1,11,50,485
2022,1,1,12,0,531
2022,1,1,12,10,574
2022,1,1,12,20,616
2022,1,1,12,30,658
2022,1,1,12,40,700
2022,1,1,12,50,740
2022,1,1,13,0,778
2022,1,1,13,10,815
2022,1,1,13,20,856
2022,1,1,13,30,890
2022,1,1,13,40,925
2022,1,1,13,50,957
2022,1,1,14,0,986
2022,1,1,14,10,1015
2022,1,1,14,20,1041
2022,1,1,14,30,1066
2022,1,1,14,40,1090
2022,1,1,14,50,1111
2022,1,1,15,0,1130
2022,1,1,15,10,1147
2022,1,1,15,20,1162
2022,1,1,15,30,1175
2022,1,1,15,40,1186
2022,1,1,15,50,1195
2022,1,1,16,0,1202
2022,1,1,16,10,1206
2022,1,1,16,20,1209
2022,1,1,16,30,1209
2022,1,1,16,40,1207
2022,1,1,16,50,1203
2022,1,1,17,0,1197
2022,1,1,17,10,1189
2022,1,1,17,20,1178
2022,1,1,17,30,1166
2022,1,1,17,40,1151
2022,1,1,17,50,1128
2022,1,1,18,0,1110
2022,1,1,18,10,1089
