date,cmi,cmi1,cmi2,cmi3,cmi4,cmi5,cmi6,cmi7,cmi8,cmi9,cmi10,cmi11,cmi12,cmi13,cmi14,cmi15,cmi16,cmi17,cmi18,cmi19,cmi20,cmi30,cmi40,cmi50,cmi60,cmi70,cmi80,cmi90,cmi100
2022-01-01 09:00:20.780456,0.0,0.0,0.0238095,0.024691334,0.0238095,0.03936504,0.0343915,0.05183021,0.053571373,0.05095037,0.045714244,0.04224054,0.049162213,0.05334831,0.05247809,0.049100485,0.0460069,0.04602621,0.047129095,0.046695642,0.049285665,0.051146332,0.051230107,0.05145392,0.053306825,0.05336568,0.05487594,0.054512978,0.054812647
2022-01-01 09:10:20.782082,0.0634920026641339,0.063492,0.07142851,0.06701934,0.06349201,0.054603122,0.0608465,0.060252614,0.052083284,0.06623549,0.07428564,0.067952186,0.06327154,0.06086215,0.055393532,0.056296244,0.055927526,0.053605705,0.055359535,0.056544814,0.054841217,0.053686015,0.054662645,0.056304708,0.05790999,0.05858109,0.059077322,0.059098504,0.05874915
2022-01-01 09:20:20.781926,0.0,0.0,0.047619,0.049382664,0.045634877,0.06222216,0.067019336,0.07644956,0.08234119,0.07407401,0.06571422,0.0655909,0.06723979,0.06856385,0.07126652,0.06730152,0.066220164,0.06898439,0.06819511,0.070790954,0.07317453,0.07368599,0.07390866,0.07344755,0.07506166,0.07556844,0.075173534,0.07465405,0.0740158
2022-01-01 09:30:20.781791,0.09523800108581781,0.095238,0.142857,0.20105802,0.22023788,0.21079345,0.20458533,0.18399723,0.18650775,0.18773252,0.19809501,0.20044582,0.19510561,0.18784615,0.1862648,0.19075817,0.19543631,0.19289266,0.19145583,0.18845342,0.18706329,0.18761885,0.1861506,0.18702205,0.18729258,0.18631016,0.18529245,0.18473427,0.18381885
2022-01-01 09:40:20.783482,0.28571400325745344,0.285714,0.4047615,0.43386197,0.47222176,0.47238046,0.45943516,0.46776763,0.48958287,0.47383845,0.46698368,0.4767148,0.46869442,0.4632286,0.4719788,0.46701896,0.4706097,0.4767393,0.47403443,0.4714413,0.4722218,0.47361505,0.4699202,0.46402496,0.46298894,0.46071872,0.45950353,0.4569347,0.45404398
2022-01-01 09:50:20.783392,0.6984120234847069,0.698412,0.83333254,0.8853607,0.89285636,0.91809434,0.9029973,0.9005498,0.9166658,0.8884961,0.88063407,0.88101697,0.88403803,0.8770537,0.88338107,0.8729445,0.87623924,0.8783426,0.87703234,0.87200373,0.8711897,0.8701579,0.86186427,0.85152936,0.84317374,0.8320951,0.8206788,0.8103421,0.802304
2022-01-01 10:00:20.785127,1.4285700395703316,1.42857,1.301586,1.2698401,1.2718241,1.2685702,1.2839494,1.2834455,1.2772806,1.2823818,1.2917448,1.264855,1.2762333,1.2732213,1.2750232,1.2680058,1.2669879,1.2574273,1.2630793,1.2566493,1.2552369,1.2387643,1.2140267,1.1978147,1.1870975,1.1684213,1.1502469,1.1360132,1.1219481
2022-01-01 10:10:20.785082,1.5555541031062603,1.5555542,1.6666651,1.6684287,1.6924586,1.7193635,1.725748,1.7376076,1.7514865,1.7209467,1.7199984,1.7058885,1.714725,1.7022619,1.7061856,1.6862065,1.6919627,1.6857237,1.6887109,1.6769979,1.6738873,1.6418679,1.6027564,1.5737889,1.5497428,1.516027,1.4850185,1.4638865,1.445586
2022-01-01 10:20:20.785059,2.063490077853203,2.0634902,2.0872996,2.1199276,2.1507914,2.193014,2.1807737,2.1988966,2.2103152,2.184987,2.1831722,2.1568916,2.1666644,2.1423855,2.1475523,2.1233134,2.1280982,2.1098456,2.1071897,2.0909271,2.0899186,2.0452182,1.9896408,1.953776,1.9162414,1.8678633,1.8270072,1.7997749,1.7750648
2022-01-01 10:30:20.786862,2.6666641235351562,2.6666641,2.5634897,2.6843007,2.7182515,2.7682512,2.7336833,2.7295084,2.7266839,2.6890044,2.6968231,2.6706,2.6712937,2.6277802,2.6318407,2.6017613,2.6108608,2.588782,2.5857313,2.5574439,2.5499976,2.4908266,2.4177356,2.363147,2.309698,2.24463,2.1923542,2.1575131,2.1245759
2022-01-01 10:40:20.786884,3.4920603036880493,3.4920602,3.301584,3.3333302,3.2996,3.3092034,3.2857113,3.2892745,3.2604132,3.2239828,3.2272983,3.1683033,3.1803324,3.1345885,3.1305444,3.0938945,3.0970953,3.0595894,3.063685,3.0368874,3.0274572,2.952131,2.8558307,2.7916925,2.7181191,2.6370173,2.573544,2.5301526,2.4910862
2022-01-01 10:50:20.786892,3.7777740508317947,3.777774,3.793647,3.8306844,3.8194406,3.857774,3.8218658,3.8445055,3.83581,3.7742467,3.766663,3.7048368,3.7129595,3.6562378,3.6545153,3.6023948,3.6123476,3.5695028,3.56633,3.5285552,3.52333,3.4312491,3.3195007,3.2392728,3.1493888,3.049139,2.972011,2.9226663,2.8776734
