date,cmi,cmi1,cmi2,cmi3,cmi4,cmi5,cmi6,cmi7,cmi8,cmi9,cmi10,cmi11,cmi12,cmi13,cmi14,cmi15,cmi16,cmi17,cmi18,cmi19,cmi20,cmi30,cmi40,cmi50,cmi60,cmi70,cmi80,cmi90,cmi100
2023-01-01 09:00:20.859102,0.1269840053282678,0.126984,0.0555555,0.049382664,0.049603127,0.04317456,0.050264504,0.05118233,0.044642814,0.048206896,0.0523809,0.047750186,0.049162213,0.0516577,0.049562637,0.05206344,0.048735075,0.047454227,0.048794776,0.049773503,0.047936462,0.052098714,0.0527182,0.05467931,0.055326223,0.056404218,0.056488045,0.05648044,0.056526925
2023-01-01 09:10:20.858925,0.0,0.0,0.0,0.031746,0.041666627,0.045714237,0.049382664,0.044703554,0.05505947,0.05369385,0.0555555,0.06034364,0.055996414,0.053160463,0.055393532,0.05375656,0.055679504,0.05712083,0.05379183,0.05443428,0.053412646,0.054215115,0.05369042,0.053206295,0.05535268,0.05532875,0.056155697,0.056503963,0.056012645
2023-01-01 09:20:20.858771,0.0,0.0,0.039682504,0.049382668,0.075396754,0.06095232,0.05379183,0.047942944,0.042162657,0.0513423,0.060634866,0.05772,0.057319168,0.056917384,0.05701323,0.062363252,0.0649801,0.06393139,0.063002095,0.06314024,0.060317405,0.062539615,0.063809454,0.064723745,0.064885296,0.06629083,0.06548108,0.06500484,0.06511104
2023-01-01 09:30:20.860442,0.0,0.0,0.15873002,0.12345668,0.11706337,0.12952368,0.12786585,0.1328149,0.1458332,0.13364674,0.12730145,0.13695382,0.13205454,0.12566908,0.13087128,0.12740727,0.12822407,0.13104838,0.12904161,0.12891866,0.13007924,0.12955895,0.13170622,0.13199988,0.13705453,0.13941029,0.14095223,0.1424925,0.14311731
2023-01-01 09:40:20.860333,0.2539680106565356,0.253968,0.31746003,0.3350967,0.3472219,0.34412664,0.33421484,0.33171335,0.34374967,0.34371907,0.34857106,0.34920603,0.34501728,0.34375846,0.34742436,0.34567866,0.35218218,0.35228178,0.35743648,0.3536909,0.36722186,0.4126275,0.44706306,0.46067256,0.4634828,0.47954604,0.4934817,0.51005244,0.52296454
2023-01-01 09:50:20.860247,0.7936500012874603,0.79365003,0.761904,0.78306794,0.79365003,0.8380945,0.8694877,0.89795834,0.9216261,0.9461093,1.0419037,1.0119367,1.0802459,1.0609552,1.0986384,1.0995404,1.1212786,1.0993564,1.116303,1.1037232,1.1125386,1.1327326,1.1722012,1.225929,1.3000252,1.3218517,1.367082,1.403377,1.3992811
2023-01-01 10:00:20.861987,4.222218319773674,4.2222185,4.2777734,3.6296263,3.8253932,3.6419013,3.3509672,3.3508227,3.0158703,3.0382097,2.8199973,2.7658374,2.6510115,2.6074924,2.5038848,2.4522023,2.3935988,2.335693,2.3103054,2.2637274,2.2561884,2.244125,2.3630137,2.4766579,2.598763,2.727973,2.7385144,2.6749299,2.581312
2023-01-01 10:10:20.861948,3.6190442740917206,3.6190443,4.8333287,4.5114594,4.4781704,4.4736466,4.2142816,4.1645575,4.05952,3.9776564,3.9653935,3.887704,3.9093878,3.8579843,3.889533,3.875975,3.8758643,3.858732,3.8392086,3.8201609,3.8139646,3.8732243,3.965631,4.257202,4.4721475,4.4389653,4.2962255,4.0963826,3.890749
2023-01-01 10:20:20.863736,6.444438546895981,6.4444385,6.1825337,6.4973483,6.2579303,6.443169,6.125214,6.278581,6.134915,6.206147,6.121582,6.1621346,6.125434,6.0991774,6.108352,6.075197,6.078491,6.0095506,5.996075,5.928588,5.930788,5.9017224,6.176958,6.367422,6.428609,6.2307034,5.9622064,5.617678,5.252801
2023-01-01 10:30:20.863745,7.841262221336365,7.8412623,7.5396748,7.798934,7.7559457,7.8565,7.9047537,8.015542,8.026281,8.0709305,8.092056,8.028328,8.004181,7.9158373,7.916902,7.8133254,7.8384104,7.710983,7.756117,7.6356606,7.709993,7.968423,8.307987,8.217313,7.896976,7.528688,7.144304,6.699311,6.2774224
