date,cmi,cmi1,cmi2,cmi3,cmi4,cmi5,cmi6,cmi7,cmi8,cmi9,cmi10,cmi11,cmi12,cmi13,cmi14,cmi15,cmi16,cmi17,cmi18,cmi19,cmi20,cmi30,cmi40,cmi50,cmi60,cmi70,cmi80,cmi90,cmi100
2022-01-01 11:20:20.788760,4.952376335859299,4.9523764,4.730154,4.917103,4.857138,4.722535,4.715163,4.4535108,4.324897,4.0983696,3.8952343,3.7594087,3.6238942,3.5422153,3.4271102,3.378621,3.302452,3.275001,3.2257464,3.210567,3.1661873,3.033013,3.0045407,2.9214323,2.846576,2.7652452,2.7199676,2.694667,2.6943848
2022-01-01 11:30:20.790598,5.206344276666641,5.206344,4.9841223,5.2557273,5.2837253,5.1301537,5.126979,4.7793927,4.635412,4.4040723,4.1917424,4.034365,3.8606665,3.7574868,3.63184,3.5741765,3.4967725,3.465587,3.403583,3.3832796,3.3315842,3.193859,3.1601357,3.0628033,2.9751205,2.8865407,2.8379688,2.8110144,2.8110514
2022-01-01 11:40:20.790629,6.09523206949234,6.095232,5.55555,5.71428,5.603169,5.4552326,5.402993,5.0527973,4.9305506,4.6380515,4.3958693,4.235074,4.05952,3.9566033,3.8279846,3.75534,3.6669114,3.6311274,3.5629008,3.5480776,3.4995205,3.3330832,3.2948382,3.1906002,3.0996618,3.0056014,2.9549277,2.9284,2.9287622
2022-01-01 11:50:20.790686,6.222216412425041,6.2222166,5.682534,5.9717755,5.8888836,5.71428,5.6640162,5.2691884,5.1299553,4.846948,4.6349163,4.452574,4.264326,4.142384,3.9978907,3.9264865,3.8338258,3.7965581,3.724864,3.701267,3.6448379,3.4838412,3.4446993,3.329267,3.23042,3.1293716,3.0764751,3.0498269,3.0525336
2022-01-01 12:00:20.792557,6.507930159568787,6.5079303,6.1587243,6.4091654,6.3968196,6.234915,6.1957617,5.718816,5.55307,5.21771,4.9419003,4.7382874,4.5167503,4.3739977,4.214282,4.133188,4.0364547,3.9995565,3.9166138,3.8954365,3.832219,3.6558342,3.6151354,3.4848347,3.376143,3.2668319,3.2112021,3.1813686,3.183651
2022-01-01 12:10:20.792603,7.015866041183472,7.0158663,6.476184,6.814808,6.734121,6.4825335,6.462957,6.009064,5.8338237,5.4705024,5.1872973,4.9539504,4.7328,4.5858884,4.417715,4.328744,4.2191176,4.1715784,4.092687,4.0714903,4.0022974,3.8130474,3.7700162,3.6311455,3.5132945,3.39495,3.3366635,3.3073652,3.310708
2022-01-01 12:20:20.794472,7.492056488990784,7.4920564,6.8888826,7.153432,7.107136,6.896501,6.855373,6.391313,6.171621,5.7781644,5.4336457,5.1929636,4.9605327,4.8113036,4.627789,4.528673,4.407362,4.3570013,4.2696414,4.245874,4.1709485,3.9693084,3.928627,3.7783966,3.65766,3.5324032,3.4727645,3.443571,3.4473524
2022-01-01 12:30:20.794554,7.968246191740036,7.968246,7.4603105,7.6578407,7.57539,7.2812634,7.29188,6.7476454,6.5654697,6.1226673,5.7498364,5.4836626,5.222658,5.0547523,4.8615117,4.754422,4.620531,4.56736,4.469916,4.4481335,4.3735676,4.1577387,4.110294,3.9473486,3.8173244,3.687026,3.6212866,3.588517,3.5939045
2022-01-01 12:40:20.794611,8.253960311412811,8.253961,7.7460246,7.947083,7.9146743,7.649516,7.611104,7.070936,6.8561444,6.39623,6.001264,5.730022,5.452375,5.269648,5.0712614,4.9543514,4.8206797,4.7701387,4.662155,4.6365867,4.557456,4.324617,4.2739444,4.100707,3.9631095,3.823553,3.7567225,3.7244096,3.7303202
2022-01-01 12:50:20.796486,8.380944281816483,8.380944,7.9841194,8.208105,8.263881,8.0406275,8.021155,7.4246764,7.159219,6.685081,6.272692,5.9808416,5.684077,5.4898043,5.283442,5.1609125,5.0208287,4.9669857,4.856256,4.8297014,4.7449956,4.508108,4.458289,4.2724147,4.124714,3.9799962,3.911058,3.8772604,3.883307
2022-01-01 13:00:20.796563,9.174594283103943,9.174594,8.317452,8.843025,8.734118,8.41269,8.338615,7.667631,7.4389815,6.9445357,6.5491996,6.2439923,5.9272428,5.716722,5.487685,5.365215,5.216761,5.160867,5.045655,5.016308,4.9248366,4.691706,4.629281,4.433329,4.2787347,4.1265006,4.0570397,4.0248165,4.03305
2022-01-01 13:10:20.796614,9.333324432373047,9.333324,8.825389,9.001754,9.097214,8.822848,8.781297,8.133455,7.8496947,7.2953095,6.8355484,6.512653,6.176801,5.956226,5.72578,5.585603,5.4361305,5.3771577,5.2540617,5.2312307,5.1398363,4.8811946,4.823983,4.615551,4.4508686,4.291262,4.2179623,4.1826572,4.1898785
2022-01-01 13:20:20.798488,9.650784730911255,9.6507845,8.984118,9.389761,9.363087,9.070468,8.998228,8.355677,8.122017,7.5367355,7.080311,6.7430077,6.407842,6.1897187,5.938284,5.795127,5.6240025,5.556868,5.431996,5.4076366,5.3100743,5.041089,4.987654,4.769418,4.602597,4.4395742,4.3665533,4.3334584,4.3433356
2022-01-01 13:30:20.798554,9.58729237318039,9.587293,9.238086,9.548492,9.771816,9.511101,9.502636,8.804008,8.521817,7.9243503,7.430469,7.0678144,6.6948786,6.447632,6.190146,6.039782,5.8748703,5.807651,5.677929,5.646567,5.5389633,5.261829,5.2013044,4.9641476,4.783691,4.6101613,4.5354624,4.499945,4.510424
2022-01-01 13:40:20.798598,10.285704582929611,10.285705,9.746022,10.10581,10.196419,9.860308,9.863307,9.134426,8.834317,8.20301,7.696183,7.3076143,6.9395876,6.6884503,6.407347,6.2587595,6.079979,6.0070252,5.8722267,5.8393292,5.726741,5.4476132,5.3800745,5.134789,4.95011,4.7735558,4.697069,4.659686,4.6704273
2022-01-01 13:50:20.800465,10.825386643409729,10.825387,10.20634,10.603164,10.672608,10.319991,10.340378,9.540645,9.245031,8.56711,8.020945,7.615105,7.228829,6.9657116,6.6789694,6.5209107,6.3272514,6.2480307,6.1002297,6.073687,5.9576135,5.6524463,5.576642,5.3214173,5.1244664,4.940248,4.8594546,4.8211474,4.8321795
2022-01-01 14:00:20.800514,11.460306495428085,11.460306,10.603164,11.118155,11.05356,10.699672,10.6613655,9.849034,9.5570345,8.8606615,8.290786,7.869074,7.4653807,7.190939,6.8908253,6.72592,6.5208273,6.4404836,6.2860026,6.258623,6.140153,5.8339977,5.7629313,5.4968076,5.293399,5.1023407,5.019207,4.979862,4.9915
2022-01-01 14:10:20.800545,11.682528257369995,11.6825285,11.047607,11.414452,11.398798,11.11872,11.014979,10.190467,9.873007,9.15343,8.589515,8.160821,7.734781,7.444156,7.1410685,6.9575944,6.7565656,6.6802816,6.5197864,6.4862094,6.3615813,6.045991,5.972931,5.6891627,5.4763,5.2785954,5.193969,5.1525054,5.1631885
2022-01-01 14:20:20.802396,12.285702675580978,12.285703,11.142847,11.735439,11.775783,11.475544,11.386231,10.536433,10.17509,9.44228,8.836499,8.383043,7.946642,7.6547318,7.338509,7.160487,6.946174,6.8641663,6.7093806,6.672377,6.5380893,6.220135,6.147375,5.860198,5.641441,5.4413686,5.3564434,5.315174,5.3254333
2022-01-01 14:30:20.802419,13.111098110675812,13.111098,11.968243,12.345668,12.273798,11.912369,11.753076,10.837695,10.525288,9.756604,9.155546,8.699717,8.236984,7.92786,7.5963655,7.4096575,7.189478,7.103415,6.9292502,6.8946867,6.7589617,6.4302235,6.3453703,6.0396643,5.814624,5.607977,5.5190177,5.4777336,5.4870768
2022-01-01 14:40:20.804236,13.238082826137543,13.238083,12.523797,12.8924055,12.831338,12.402527,12.335084,11.395517,11.004454,10.198305,9.498087,9.003533,8.524021,8.201739,7.862157,7.671245,7.4396005,7.3489246,7.1736164,7.139684,7.002057,6.6406636,6.548863,6.2331114,5.9937162,5.7771044,5.6858425,5.6404843,5.65002
2022-01-01 14:50:20.804266,13.333320617675781,13.333321,12.460306,13.054662,13.003956,12.661574,12.519388,11.5996,11.175584,10.387605,9.7171335,9.214473,8.725962,8.396535,8.048745,7.8528314,7.618545,7.5253406,7.3500814,7.3103743,7.1622157,6.8080707,6.7176723,6.392438,6.1554613,5.9350967,5.844518,5.798544,5.8098583
2022-01-01 15:00:20.804268,13.841256499290466,13.841256,13.17459,13.516742,13.541654,13.069193,13.009686,12.032382,11.605643,10.747393,10.004752,9.495727,8.986543,8.654824,8.296557,8.093679,7.8480825,7.757339,7.5707355,7.5366416,7.3909445,7.014949,6.909041,6.5699873,6.31696,6.0920634,5.9985113,5.9518147,5.9632673
2022-01-01 15:10:20.806067,13.87300193309784,13.873002,13.396813,13.611979,13.871018,13.387923,13.455012,12.390012,11.910703,11.029972,10.292689,9.752844,9.233897,8.890571,8.517485,8.3166065,8.0670805,7.969235,7.7839427,7.751564,7.594992,7.206025,7.101164,6.746063,6.482507,6.247678,6.1498404,6.100657,6.1107683
2022-01-01 15:20:20.806078,14.66665267944336,14.666653,13.365067,14.130499,14.041654,13.589829,13.487641,12.3822365,11.994037,11.10914,10.411101,9.8921585,9.376975,9.035025,8.662447,8.457981,8.197041,8.10215,7.9048524,7.8692274,7.7150717,7.3290586,7.211778,6.8588376,6.603654,6.373839,6.2779455,6.236678,6.258232
2022-01-01 15:30:20.806059,14.634907245635986,14.634907,13.650781,14.222209,14.214272,13.841256,13.748665,12.6750765,12.228164,11.354486,10.613323,10.091031,9.575168,9.235081,8.851303,8.641826,8.37648,8.282412,8.086902,8.0501175,7.891024,7.484824,7.3701916,7.007612,6.7465363,6.5100746,6.4166555,6.3717046,6.3836737
2022-01-01 15:40:20.807846,14.634907245635986,14.634907,13.873002,14.377411,14.494035,14.062209,14.044079,12.9251585,12.491555,11.590817,10.799037,10.262617,9.720008,9.369954,8.989464,8.7834835,8.522561,8.4351,8.233188,8.19935,8.041977,7.6338553,7.5140805,7.1474977,6.8791294,6.6402464,6.5406485,6.494421,6.51967
2022-01-01 15:50:20.807832,14.603160321712494,14.60316,13.952369,14.352721,14.515859,14.190462,14.153425,13.06769,12.58977,11.71114,10.944752,10.408228,9.849417,9.502386,9.118067,8.913571,8.656986,8.565708,8.368893,8.333017,8.16904,7.7772408,7.64789,7.271079,6.996686,6.7509756,6.6534214,6.606371,6.625822
2022-01-01 16:00:20.807783,15.23808091878891,15.238081,14.285702,14.680762,14.652765,14.1358595,14.069654,13.081296,12.650284,11.774239,11.037131,10.505827,9.957441,9.60664,9.221889,9.025034,8.762889,8.66545,8.469715,8.437666,8.26904,7.8679285,7.742433,7.3636374,7.0906544,6.847347,6.758837,6.714694,6.739404
2022-01-01 16:10:20.809547,15.714271366596222,15.714272,14.428559,14.966476,14.704351,14.259033,14.138434,13.080001,12.683519,11.809119,11.094593,10.572993,10.03306,9.68253,9.29348,9.089092,8.825513,8.743223,8.532424,8.503708,8.341976,7.941898,7.813485,7.4397893,7.172039,6.933987,6.84172,6.803783,6.921381
2022-01-01 16:20:20.809498,14.698398113250732,14.698399,13.999987,14.451486,14.724192,14.283161,14.353603,13.300279,12.877965,11.999597,11.229197,10.694992,10.142848,9.798056,9.409287,9.202249,8.946917,8.861528,8.659408,8.627613,8.458801,8.058582,7.929239,7.5501895,7.273891,7.0356197,6.959676,6.970682,7.02425
2022-01-01 16:30:20.809421,15.079350769519806,15.07935,13.857129,14.663124,14.595225,14.250144,14.180763,13.100084,12.711297,11.866343,11.164117,10.653014,10.125873,9.789603,9.400379,9.199991,8.9396,8.854169,8.647453,8.61671,8.447769,8.07075,7.944794,7.5846024,7.319914,7.1110396,7.0385695,7.0534987,7.1929736
2022-01-01 16:40:20.811157,15.46030193567276,15.460302,14.4126835,14.783054,14.789668,14.299668,14.26101,13.251688,12.870523,11.97373,11.240307,10.729885,10.1909075,9.846707,9.466463,9.2591095,8.999248,8.915463,8.704969,8.679585,8.518326,8.140486,8.014973,7.6437893,7.3807335,7.177888,7.212444,7.253699,7.5228505
2022-01-01 16:50:20.811064,15.269826352596283,15.269826,14.412684,14.920621,14.863081,14.4812565,14.414448,13.387741,12.902765,12.046236,11.313957,10.783408,10.260793,9.913769,9.532223,9.328386,9.068691,8.97588,8.780513,8.75152,8.581657,8.188634,8.070925,7.810901,7.5344286,7.380472,7.7105136,7.957664,8.402966
2022-01-01 17:00:20.583744,15.079350769519806,15.07935,14.063479,14.8148,14.773796,14.410146,14.344783,13.317771,12.90723,12.059169,11.330465,10.81017,10.268068,9.922973,9.535462,9.333889,9.082457,8.987634,8.787175,8.756707,8.590706,8.358828,8.330984,8.111141,8.028925,7.9899507,8.163474,8.610507,8.980619
2022-01-01 17:10:20.583646,15.079350769519806,15.07935,14.49205,14.793637,14.799589,14.416495,14.344782,13.379967,12.954352,12.117174,11.465702,10.987527,10.600299,10.2888975,10.043075,9.856499,9.707953,9.63266,9.560054,9.547896,9.515625,9.2820015,8.751282,8.173947,7.8629813,7.7130475,7.8578005,8.522669,9.424873
