date,cmi,cmi1,cmi2,cmi3,cmi4,cmi5,cmi6,cmi7,cmi8,cmi9,cmi10,cmi11,cmi12,cmi13,cmi14,cmi15,cmi16,cmi17,cmi18,cmi19,cmi20,cmi30,cmi40,cmi50,cmi60,cmi70,cmi80,cmi90,cmi100
2024-01-01 09:00:20.810296,0.0,0.0,0.0,0.0070546665,0.0396825,0.048253924,0.061728332,0.05183021,0.045634877,0.05604541,0.07015866,0.06768981,0.06327154,0.05804446,0.055555504,0.055308588,0.057787642,0.059537478,0.060356595,0.056456875,0.056269787,0.056966428,0.056210265,0.056520578,0.056781255,0.05563324,0.055441417,0.05532818,0.055857085
2024-01-01 09:10:20.811995,0.2222220180556178,0.22222202,0.206349,0.112874664,0.07936501,0.08380944,0.07319217,0.06673139,0.07886897,0.070546664,0.06730153,0.073461816,0.07186942,0.07138155,0.07515379,0.0719576,0.07043644,0.06865485,0.06584355,0.068768345,0.071825325,0.068253905,0.06815469,0.06779676,0.06816572,0.068376996,0.067847155,0.06824214,0.068355486
2024-01-01 09:20:20.811918,0.2539680106565356,0.253968,0.222222,0.10934734,0.13095224,0.16634905,0.14373887,0.14965971,0.17063476,0.16421698,0.16761887,0.17499653,0.17217796,0.16680737,0.17363119,0.17015855,0.1732389,0.1730102,0.17117365,0.17077765,0.17309505,0.16902982,0.16801569,0.16553637,0.16227497,0.16044688,0.1596427,0.16117561,0.16284746
2024-01-01 09:30:20.811865,0.5714280065149069,0.571428,0.603174,0.5467367,0.523809,0.5257138,0.51234525,0.52542865,0.5362098,0.5243969,0.51492006,0.5218413,0.5171953,0.5197703,0.5199217,0.51259214,0.50347173,0.50178456,0.49872574,0.5002853,0.5030154,0.48871204,0.47039637,0.4546154,0.44402954,0.4322639,0.4228121,0.42128122,0.42235196
2024-01-01 09:40:20.813640,1.4285700395703316,1.42857,1.253967,1.2733674,1.3075384,1.3663478,1.327159,1.3145437,1.3065463,1.3211823,1.3228558,1.3346438,1.3205456,1.3201829,1.3258815,1.3158365,1.3216753,1.3237753,1.3201046,1.3175911,1.3214273,1.3200693,1.2936099,1.2317957,1.181251,1.1347318,1.0981488,1.0762953,1.059853
2024-01-01 09:50:20.813596,1.5873000025749207,1.5873001,1.5873001,1.6684287,1.7817444,1.8704745,1.8959417,1.9041123,1.9548591,1.9729551,2.0453947,2.0655892,2.0859768,2.1104517,2.1248763,2.155624,2.1705086,2.1924515,2.2494588,2.248602,2.2949185,2.4047246,2.4191842,2.3270452,2.2459323,2.1811643,2.0829148,2.0328455,1.984833
2024-01-01 10:00:20.813546,3.904758021235466,3.904758,3.8253932,3.724864,3.65079,3.6825364,3.697527,3.621636,3.6225162,3.552025,3.509203,3.417549,3.3547149,3.3027112,3.2554228,3.222431,3.192085,3.180861,3.190963,3.180756,3.2384892,3.5895202,3.5901356,3.4320095,3.3226333,3.1738095,3.0109098,2.9129114,2.848467
2024-01-01 10:10:20.815324,4.603170230984688,4.6031704,4.6507893,4.733681,4.918646,4.8685665,4.971777,4.8240967,4.8209276,4.7023273,4.7136455,4.525773,4.5321827,4.3852687,4.3927717,4.2380204,4.249252,4.1075373,4.181458,4.0890784,4.1596785,4.44638,4.4574556,4.2542815,4.0831532,3.8966403,3.7232354,3.6294184,3.5797112
2024-01-01 10:20:20.815330,5.523804202675819,5.523804,5.2222176,5.2169266,5.539677,5.4577727,5.537914,5.5322266,5.546622,5.350965,5.288884,5.1150417,5.1540956,5.005725,5.0814657,4.8876143,4.9531198,4.750366,4.898682,4.723822,4.858646,5.0904007,5.1268206,4.9085283,4.6701455,4.441402,4.2885675,4.2565,4.234009
2024-01-01 10:30:20.815339,7.460310310125351,7.4603105,7.2380886,7.0405574,6.6408663,6.2768197,6.1296244,5.7680545,5.702872,5.2823777,5.4558682,5.0436788,5.259695,4.9365973,5.132162,4.8320236,5.04997,4.785957,4.989707,4.764626,4.976741,5.127755,5.352872,5.272008,5.030189,4.831573,4.7218013,4.728269,4.7072177
